category,style_name,product_id,url,image_url
Air Jordan,Air Jordan 4 Retro 'White Cement' 2025,jordan-4,https://www.kickscrew.com/products/air-jordan-4-retro-white-cement-2025-fv5029-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_001c4a03-1189-4a6a-93cb-8eb73718c822_x480.jpg?w=384&v=1746683652
Air Jordan,Air Jordan 5 OG 'Grape' 2025,jordan-5,https://www.kickscrew.com/products/air-jordan-5-og-grape-2025-hq7978-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_86c990e9-2515-47a0-80e0-d77073e759f8_x480.jpg?w=384&v=1750132847
Air Jordan,Air Jordan 13 Retro Low 'Dongdan',jordan-13,https://www.kickscrew.com/products/air-jordan-13-retro-low-dongdan-hv6922-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_0af6dbb9-324f-4406-9f9f-40c119d33f0e_x480.jpg?w=384&v=1750150848
Air Jordan,Air Jordan 1 Mule Golf 'Wolf Grey',jordan-1,https://www.kickscrew.com/products/air-jordan-1-mule-golf-wolf-grey-fj1214-004,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_0d15378f-5944-4b76-9704-3d7667582984_x480.jpg?w=384&v=1743135016
Air Jordan,Air Jordan 11 Low 'Bred' 2025,jordan-11,https://www.kickscrew.com/products/air-jordan-11-low-bred-2025-fv5104-006,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_8c2eda29-77d1-4767-82a1-af151460c7ab_x480.jpg?w=384&v=1745680824
Air Jordan,Air Jordan 14 'Ferrari' 2025,jordan-14,https://www.kickscrew.com/products/air-jordan-14-ferrari-2025-if5015-600,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_129abc7c-a5df-42d2-ad53-4e303f39b8ce_x480.jpg?w=384&v=1748782943
Air Jordan,Air Jordan Spizike Low 'Obama',im7425-004,https://www.kickscrew.com/products/air-jordan-spizike-low-obama-im7425-004,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_19c3d344-dfaa-42ae-b382-cda5e145f433_x480.jpg?w=384&v=1747383016
Air Jordan,Air Jordan 8 Retro 'Aqua' 2025,jordan-8,https://www.kickscrew.com/products/air-jordan-8-retro-aqua-2025-305381-006,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/Air-Jordan-8-Aqua-305381-025-03-Photoroom-square_x480.jpg?w=384&v=1740116396
Air Jordan,(WMNS) Air Jordan 3 Retro TEX 'Starfish',jordan-3,https://www.kickscrew.com/products/wmns-air-jordan-3-retro-tex-starfish-ih7694-200,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_2114f4e1-4c7a-4981-a0c9-45b4fcb4de71_x480.jpg?w=384&v=1748842824
Air Jordan,Air Jordan Legacy 312 Low 'Shattered Backboard',legacy-312,https://www.kickscrew.com/products/air-jordan-legacy-312-low-shattered-backboard-cd7069-118,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_7763bb63-67af-4703-a145-7f7b6e30f313_x480.jpg?w=384&v=1749723618
Air Jordan,Air Jordan 12 'Melo' 2025,jordan-12,https://www.kickscrew.com/products/air-jordan-12-melo-2025-ct8013-112,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_2137522d-c5fa-4e60-bc2b-f61ab641c0d9_x480.jpg?w=384&v=1746410655
Air Jordan,Air Jordan Courtside 23 'Desert Gum',courtside-23,https://www.kickscrew.com/products/air-jordan-courtside-23-desert-gum-at0057-200,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_0cecca92-5a0f-48ec-a1fd-8b2f6dbcf4c3_x480.jpg?w=384&v=1708401211
Air Jordan,Air Jordan x Travis Scott Jumpman Jack TR 'Bright Cactus',fz8117-102,https://www.kickscrew.com/products/air-jordan-x-travis-scott-jumpman-jack-tr-bright-cactus-fz8117-102,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_b0dd68cc-c7ab-4279-a4e2-ee0ee7ffd28e_x480.jpg?w=384&v=1745682023
Air Jordan,Air Jordan 6 Retro 'Olympic',jordan-6,https://www.kickscrew.com/products/air-jordan-6-olympic-ct8529-164,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_13592d24-4519-42f1-acad-df660fcf86d6_x480.jpg?w=384&v=1720406161
Air Jordan,Air Jordan Hydro 5 Slides 'Metallic',hydro-5,https://www.kickscrew.com/products/air-jordan-hydro-5-slides-metallic-555501-061,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/1-square_f5b46483-aa90-430f-b84e-8ddce64156e9_x480.jpg?w=384&v=1740048998
Air Jordan,Air Jordan Hydro 6 Slide 'Cool Grey',hydro-6,https://www.kickscrew.com/products/nike-jordan-hydro-6-slide-cool-grey-cool-grey-white-wolf-grey-881473-004,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_1cba1c97-1fa9-464e-83dc-631243ad69d4_x480.jpg?w=384&v=1708782723
Air Jordan,Air Jordan x Nba Swingman Jersey Indiana Pacers Statement Edition 'Tyrese Haliburton 0',haliburton-0,https://www.kickscrew.com/products/air-jordan-x-nba-swingman-jersey-indiana-pacers-statement-edition-tyrese-haliburton-0-do9528-731,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_b6cb6ef8-f90a-4e38-8e01-1747eda8714f_x480.jpg?w=384&v=1709777115
Air Jordan,Air Jordan x DJ Khaled Logo Shorts 'Crimson Bliss Leche Blue Black',dv7492-693,https://www.kickscrew.com/products/air-jordan-x-dj-khaled-shorts-dv7492-693,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_08d28d54-1b16-4eb1-91ba-34b3418fd8ab_x480.png?w=384&v=1693214405
Air Jordan,Air Jordan Luka 3 PF 'Purple Comet',luka-3,https://www.kickscrew.com/en-AU/products/air-jordan-luka-3-pf-purple-comet-fq1285-500,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_10c10b30-69da-490d-9a94-b96873f7e223_x480.jpg?w=384&v=1740032679
Air Jordan,Air Jordan Lift Off 'White Gym Red',ar4430-106,https://www.kickscrew.com/en-AU/products/nike-jordan-lift-off-white-gym-red-white-white-black-gym-red-ar4430-106,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_3624aee0-9346-4a0e-9152-aad1e982633e_x480.jpg?w=384&v=1706606421
Air Jordan,Air Jordan Super.Fly Low Pf 'White Green',aj2664-117,https://www.kickscrew.com/en-AU/products/air-jordan-super-fly-low-pf-white-green-aj2664-117,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_628f7717-881e-47ff-8753-a41ce99ac052_x480.jpg?w=384&v=1695975339
Air Jordan,Air Jordan Jumpman Diamond Low PF 'White Mismatch',ci1209-101,https://www.kickscrew.com/en-AU/products/nike-jumpman-diamond-low-pf-white-blue-ci1209-101,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_88b4666e-509e-4dec-a29f-15e5bc50ea47_x480.jpg?w=384&v=1708491841
Air Jordan,Men's Air Jordan Printing High Waist Bundle Feet Loose Sports Pants/Trousers/Joggers Deep Sapphire Blue,dj0192-455,https://www.kickscrew.com/en-NL/products/nike-jordan-dj0192-455,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_c9d82744-fa66-42cc-84a6-95bdeb646fcf_x480.jpg?w=384&v=1694784953
Air Jordan,(PS) Air Jordan Tatum 3 'Welcome To The Garden',tatum-3,https://www.kickscrew.com/en-NL/products/ps-air-jordan-tatum-3-welcome-to-the-garden-hf3137-103,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_2aa6ed92-ffa8-4e74-8ced-860b9735578a_x480.jpg?w=384&v=1727862056
Air Jordan,Air Jordan Dri-FIT Paris Saint-Germain 2024/25 Stadium Fourth Replica Football Jersey 'Blue Void',germain-2024,https://www.kickscrew.com/en-NL/products/air-jordan-dri-fit-paris-saint-germain-2024-25-stadium-fourth-replica-football-jersey-blue-void-hj0865-493,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/AURORA_HJ0865-493_PHSFH001-2000_1024x1024-square_384x.jpg?=75&v=1747815200
Air Jordan,Air Jordan CMFT Era 'White Sail Black',hj6777-100,https://www.kickscrew.com/en-NL/products/air-jordan-cmft-era-white-sail-black-hj6777-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_23b09c18-22e1-470d-b522-19829302ea81_x480.jpg?w=384&v=1742289022
Air Jordan,Air Jordan 9 Retro 'Cool Grey',jordan-9,https://www.kickscrew.com/en-NL/products/air-jordan-9-retro-cool-grey-hv4794-011,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_76526670-5075-4ece-bdb1-9b68ede17fd4_x480.jpg?w=384&v=1740962730
Air Jordan,Air Jordan Hydro 4 Retro Slide 'Black Cement',hydro-4,https://www.kickscrew.com/en-NL/products/air-jordan-hydro-4-retro-slide-black-cement-532225-060,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_532e9b37-91e9-4cc6-ab0f-be93235d5e6f_x480.jpg?w=384&v=1708314786
Air Jordan,Air Jordan 17+ Retro 'Copper' 2016,jordan-17,https://www.kickscrew.com/en-NL/products/air-jordan-17-retro-copper-832816-122,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_534668f0-5124-4b22-85b1-d2ea6e0b1219_x480.jpg?w=384&v=1696326544
Air Jordan,Air Jordan Lift Off 'White Grey',ar4430-101,https://www.kickscrew.com/en-NL/products/nike-jordan-lift-off-white-grey-white-white-black-wolf-grey-ar4430-101,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_843c5d2a-dcd8-48bc-be60-4f8ce9444c33_x480.jpg?w=384&v=1708771302
Air Jordan,Air Jordan 7 Retro x Trophy Room 'New Sheriff in Town',jordan-7,https://www.kickscrew.com/en-NL/products/air-jordan-7-x-trophy-room-true-red-and-obsidian-dm1195-474,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_c539f580-e23f-4c1e-8baf-5317a12889ce_x480.jpg?w=384&v=1708444524
Air Jordan,Air Jordan Super Play Slide 'Black Fire Red',dm1683-060,https://www.kickscrew.com/products/air-jordan-super-play-slide-black-fire-red-dm1683-060,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/5-square_b299e165-54aa-48b6-83d7-3f28805e3e9e_x480.jpg?w=384&v=1719457154
Air Jordan,Air Jordan 36 'Year of the Tiger',jordan-36,https://www.kickscrew.com/products/air-jordan-36-gc-pf-dn4200-064,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_00af78a0-42c8-4e09-af32-209b3b81531c_x480.jpg?w=384&v=1708351770
Air Jordan,Air Jordan Roam Slide 'Black Iron Grey',fq0227-001,https://www.kickscrew.com/products/air-jordan-roam-slide-black-iron-grey-fq0227-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/6-square_ca3ea739-a7a4-44f3-b58a-490837b1377e_x480.jpg?w=384&v=1720085575
Air Jordan,Air Jordan Luka .77 PF 'Black Hyper Pink',luka-77,https://www.kickscrew.com/products/air-jordan-luka-77-pf-black-hyper-pink-hf0819-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_628307ef-9fd7-403f-8941-e2f11557b2bc_x480.jpg?w=384&v=1743501660
Air Jordan,Air Jordan CMFT Era 'Shattered Backboard',hj6777-018,https://www.kickscrew.com/products/air-jordan-cmft-era-shattered-backboard-hj6777-018,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_8596adbd-843c-406d-8ce6-7e7cfde977df_x480.jpg?w=384&v=1750042847
Air Jordan,Air Jordan Monogram Duffle Bag 'Hemp',jd2413019ad-001,https://www.kickscrew.com/products/air-jordan-monogram-duffle-bag-hemp-jd2413019ad-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_36dd52f2-c76c-413a-a729-ecb7ce12dc62_x480.jpg?w=384&v=1709805516
Air Jordan,Air Jordan 1 Low 'Vintage Grey',jodan-1,https://www.kickscrew.com/products/nike-air-jodan-1-low-vintage-grey-553558-053,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_6429d78d-6993-458f-8fe7-025cc0fc7614_x480.jpg?w=384&v=1708672713
Air Jordan,Air Jordan Hydro 13 Retro Slide 'Navy',navy-684915,https://www.kickscrew.com/products/nike-jordan-hydro-xiii-retro-navy-684915-401,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_2504aa29-9f40-4b6e-96dd-30eab273414f_x480.jpg?w=384&v=1706607680
Air Jordan,Air Jordan Hydro 11 'Bred White',hydro-11,https://www.kickscrew.com/products/nike-air-jordan-hydro-11-retro-black-aa1336-006,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/1-square_1968b569-34e8-4fc9-a1e6-a7b14d1c8b5a_x480.jpg?w=384&v=1708782553
